카테고리,기관명,주소,위도,경도,정류소타입
버스정류장,한국사회과학자료원.이회영기념관,,37.57366701,126.9641239,마을버스
버스정류장,동묘역,,37.57269435,127.0142454,마을버스
버스정류장,금강제화,,37.57057137,126.9875484,마을버스
버스정류장,경진빌라,,37.60200372,126.9578304,마을버스
버스정류장,성대입구,,37.58335331,126.9992849,마을버스
버스정류장,청와대,,37.5829713,126.9737681,일반차로
버스정류장,춘추문,,37.58312761,126.9796554,일반차로
버스정류장,경복궁.국립민속박물관,,37.57941352,126.9795911,일반차로
버스정류장,효자로입구(가상),,37.57628833,126.9744666,가상정류장
버스정류장,EN갤러리,,37.6134218,126.9706087,마을버스
버스정류장,유림회관앞,,37.5858956,126.9969805,마을버스
버스정류장,성균관대정문,,37.58495635,126.9966204,마을버스
버스정류장,600주년기념관,,37.5873281,126.9939426,마을버스
버스정류장,성균관대운동장,,37.587863,126.99237,마을버스
버스정류장,학생회관,,37.58742039,126.9936746,마을버스
버스정류장,종로문화센터,,37.57469356,126.9645321,마을버스
버스정류장,동대문역.2번출구,,37.57204945,127.0117218,마을버스
버스정류장,종각역YMCA,,37.57039764,126.9850893,마을버스
버스정류장,서교빌라,,37.60198906,126.9571554,마을버스
버스정류장,경복궁역,,37.57707221,126.9724733,마을버스
버스정류장,성대입구,,37.5832668,126.998853,마을버스
버스정류장,무애사,,37.61390043,126.9718458,마을버스
버스정류장,단군성전앞,,37.57556009,126.9653175,마을버스
버스정류장,동대문종합시장,,37.57121613,127.004958,마을버스
버스정류장,상명초등학교,,37.60092381,126.9567154,마을버스
버스정류장,법련사,,37.57658798,126.9796651,마을버스
버스정류장,광화문새마을금고,,37.57949309,126.9710277,마을버스
버스정류장,성균관대학교,,37.584886,126.996646,마을버스
버스정류장,참샘골공원,,37.6146097,126.9742525,마을버스
버스정류장,활터앞,,37.57681261,126.9653294,마을버스
버스정류장,종로5가역.중부교육지원청,,37.57141925,127.0020898,마을버스
버스정류장,인사동들머리.3.1독립선언터,,37.57194702,126.983297,마을버스
버스정류장,정독도서관,,37.58026054,126.9800805,마을버스
버스정류장,오거리.한옥마을입구,,37.57946844,126.9697393,마을버스
버스정류장,평창공원지킴터입구,,37.6163964,126.9757439,마을버스
버스정류장,창경궁.고궁호텔.메이플레이스호텔,,37.57655816,126.9974492,일반차로
버스정류장,광화문,,37.57033749,126.9755695,가로변시간
버스정류장,종로1가,,37.57037,126.980129,가로변시간
버스정류장,종로2가,,37.57008246,126.9864618,가로변시간
버스정류장,종로3가역11번출구,,37.5706349,126.9932082,일반차로
버스정류장,종로3가,,37.57010243,126.9909932,가로변전일
버스정류장,종로4가,,37.57046926,126.9962507,가로변시간
버스정류장,동대문종합시장종로6가,,37.5708648,127.0032912,가로변시간
버스정류장,종로도서관,,37.57648423,126.9671252,마을버스
버스정류장,경복궁역,,37.57617809,126.9715056,일반차로
버스정류장,경복궁역7번출구,,37.57581917,126.971682,일반차로
버스정류장,안국역,,37.57661375,126.9852296,일반차로
버스정류장,안국역,,37.57631851,126.985506,일반차로
버스정류장,창덕궁,,37.57752042,126.9889001,일반차로
버스정류장,성대입구,,37.5832828,126.9992358,일반차로
버스정류장,종로사우나,,37.57380111,126.9877504,마을버스
버스정류장,엄마분식,,37.60124243,126.9557163,마을버스
버스정류장,삼청파출소,,37.58164517,126.9813258,마을버스
버스정류장,통인시장.종로구보건소,,37.58033503,126.9687505,마을버스
버스정류장,종로5가역.광장시장,,37.57077247,127.000039,마을버스
