매물종류,매물타입,위도,경도
원룸,전세,37.483583,126.96884
원룸,전세,37.497243,126.927004
원룸,전세,37.496434,126.925606
원룸,전세,37.486914,126.976804
원룸,전세,37.495431,126.952183
원룸,전세,37.485458,126.97991
원룸,전세,37.49648,126.931733
원룸,전세,37.475929,126.971217
원룸,전세,37.479255,126.977584
원룸,전세,37.494409,126.959015
원룸,전세,37.481297,126.971469
원룸,전세,37.486914,126.976804
원룸,전세,37.481378,126.971562
원룸,전세,37.48367,126.969954
원룸,전세,37.486839,126.976939
원룸,전세,37.486863,126.909349
원룸,전세,37.486273,126.979336
원룸,전세,37.486219,126.978072
원룸,전세,37.485388,126.979758
원룸,전세,37.486219,126.978072
원룸,전세,37.486219,126.978072
원룸,전세,37.486219,126.978072
원룸,전세,37.486219,126.978072
원룸,전세,37.503401,126.922786
원룸,전세,37.495546,126.930983
원룸,전세,37.503401,126.922786
원룸,전세,37.502484,126.924278
원룸,전세,37.496547,126.931198
원룸,전세,37.498074,126.932305
원룸,전세,37.497243,126.927004
원룸,전세,37.495546,126.930983
원룸,전세,37.497243,126.927004
원룸,전세,37.496547,126.931198
원룸,전세,37.497243,126.927004
원룸,전세,37.480651,126.977796
원룸,전세,37.498996,126.923354
원룸,전세,37.50985,126.931853
원룸,전세,37.497277,126.920499
원룸,전세,37.496558,126.931582
원룸,전세,37.483435,126.972334
원룸,전세,37.479313,126.976315
원룸,전세,37.503401,126.922786
원룸,전세,37.48005,126.978509
원룸,전세,37.498074,126.932305
원룸,전세,37.497243,126.927004
원룸,전세,37.504088,126.933824
원룸,전세,37.500227,126.952213
원룸,전세,37.496558,126.931582
원룸,전세,37.493453,126.954778
원룸,전세,37.503401,126.922786
원룸,전세,37.482343,126.976391
원룸,전세,37.486219,126.978072
원룸,전세,37.50985,126.931853
원룸,전세,37.480451,126.976847
원룸,전세,37.490536,126.980579
원룸,전세,37.496558,126.931582
원룸,전세,37.504088,126.933824
원룸,전세,37.486914,126.976804
원룸,전세,37.508217,126.932102
원룸,전세,37.496523,126.926563
원룸,전세,37.495734,126.926816
원룸,전세,37.47938,126.975304
원룸,전세,37.496547,126.931198
원룸,전세,37.481035,126.972796
원룸,전세,37.475929,126.971217
원룸,전세,37.498074,126.932305
원룸,전세,37.479963,126.970778
원룸,전세,37.498,126.929887
원룸,전세,37.500246,126.941872
원룸,전세,37.490602,126.979189
원룸,전세,37.491664,126.978939
원룸,전세,37.480854,126.976216
원룸,전세,37.505188,126.953615
원룸,전세,37.48007,126.973671
원룸,전세,37.497517,126.931985
원룸,전세,37.496707,126.936724
원룸,전세,37.491664,126.978939
원룸,전세,37.479742,126.977233
원룸,전세,37.480898,126.972297
원룸,전세,37.494843,126.955789
원룸,전세,37.494281,126.958491
원룸,전세,37.500152,126.951494
원룸,전세,37.493453,126.954778
원룸,전세,37.488958,126.91114
원룸,전세,37.505098,126.953563
원룸,전세,37.481258,126.972591
원룸,전세,37.508625,126.9582
원룸,전세,37.479963,126.970778
원룸,전세,37.492566,126.955124
원룸,전세,37.48007,126.973671
원룸,전세,37.483992,126.969508
원룸,전세,37.493882,126.955126
원룸,전세,37.4944,126.960411
원룸,전세,37.48234,126.970718
원룸,전세,37.477691,126.972894
원룸,전세,37.493747,126.926367
원룸,전세,37.497832,126.930617
원룸,전세,37.478195,126.97932
원룸,전세,37.495396,126.925986
원룸,전세,37.477385,126.97605
원룸,전세,37.478195,126.97932
원룸,전세,37.510987,126.947703
